DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
1429.00	 97.07
1430.00	 96.98
1431.00	 96.89
1432.00	 96.80
1433.00	 96.71
1434.00	 96.63
1435.00	 96.56
1436.00	 96.48
1437.00	 96.40
1438.00	 96.34
1439.00	 96.27
1440.00	 96.20
1441.00	 96.13
1442.00	 96.06
1443.00	 96.01
1444.00	 95.95
1445.00	 95.87
1446.00	 95.80
1447.00	 95.73
1448.00	 95.62
1449.00	 95.47
1450.00	 95.31
1451.00	 95.10
1452.00	 94.83
1453.00	 94.49
1454.00	 94.12
1455.00	 93.73
1456.00	 93.25
1457.00	 92.51
1458.00	 91.29
1459.00	 89.60
1460.00	 87.69
1461.00	 85.96
1462.00	 84.85
1463.00	 84.69
1464.00	 85.64
1465.00	 87.32
1466.00	 88.80
1467.00	 89.47
1468.00	 89.50
1469.00	 89.17
1470.00	 88.52
1471.00	 87.53
1472.00	 86.52
1473.00	 86.46
1474.00	 87.92
1475.00	 90.29
1476.00	 92.71
1477.00	 94.70
1478.00	 96.01
1479.00	 96.72
1480.00	 97.10
1481.00	 97.36
1482.00	 97.54
1483.00	 97.66
1484.00	 97.75
1485.00	 97.82
1486.00	 97.87
1487.00	 97.89
1488.00	 97.91
1489.00	 97.94
1490.00	 97.97
1491.00	 97.99
1492.00	 98.01
1493.00	 98.05
1494.00	 98.07
1495.00	 98.08
1496.00	 98.09
1497.00	 98.11
1498.00	 98.13
1499.00	 98.13
1500.00	 98.13
1501.00	 98.15
1502.00	 98.17
1503.00	 98.18
1504.00	 98.19
1505.00	 98.21
1506.00	 98.22
1507.00	 98.20
1508.00	 98.19
1509.00	 98.21
1510.00	 98.21
1511.00	 98.20
1512.00	 98.20
1513.00	 98.21
1514.00	 98.22
1515.00	 98.22
1516.00	 98.22
1517.00	 98.22
1518.00	 98.22
1519.00	 98.22
1520.00	 98.22
1521.00	 98.23
1522.00	 98.24
1523.00	 98.23
1524.00	 98.23
1525.00	 98.23
1526.00	 98.23
1527.00	 98.21
1528.00	 98.19
1529.00	 98.19
1530.00	 98.19
1531.00	 98.19
1532.00	 98.19
1533.00	 98.19
1534.00	 98.18
1535.00	 98.17
1536.00	 98.16
1537.00	 98.17
1538.00	 98.17
1539.00	 98.15
1540.00	 98.12
1541.00	 98.10
1542.00	 98.10
1543.00	 98.10
1544.00	 98.10
1545.00	 98.11
1546.00	 98.12
1547.00	 98.12
1548.00	 98.12
1549.00	 98.12
1550.00	 98.12
1551.00	 98.12
1552.00	 98.13
1553.00	 98.14
1554.00	 98.14
1555.00	 98.13
1556.00	 98.12
1557.00	 98.13
1558.00	 98.13
1559.00	 98.12
1560.00	 98.13
1561.00	 98.12
1562.00	 98.11
1563.00	 98.11
1564.00	 98.11
1565.00	 98.11
1566.00	 98.11
1567.00	 98.11
1568.00	 98.10
1569.00	 98.09
1570.00	 98.08
1571.00	 98.08
1572.00	 98.07
1573.00	 98.07
1574.00	 98.06
1575.00	 98.05
1576.00	 98.04
1577.00	 98.02
1578.00	 98.01
1579.00	 98.00
1580.00	 98.00
1581.00	 97.99
1582.00	 97.99
1583.00	 97.98
1584.00	 97.97
1585.00	 97.96
1586.00	 97.95
1587.00	 97.94
1588.00	 97.94
1589.00	 97.94
1590.00	 97.94
1591.00	 97.94
1592.00	 97.93
1593.00	 97.93
1594.00	 97.94
1595.00	 97.94
1596.00	 97.94
1597.00	 97.94
1598.00	 97.94
1599.00	 97.94
1600.00	 97.95
1601.00	 97.96
1602.00	 97.96
1603.00	 97.96
1604.00	 97.96
1605.00	 97.96
1606.00	 97.96
1607.00	 97.96
1608.00	 97.95
1609.00	 97.95
1610.00	 97.95
1611.00	 97.96
1612.00	 97.96
1613.00	 97.97
1614.00	 97.97
1615.00	 97.97
1616.00	 97.97
1617.00	 97.97
1618.00	 97.96
1619.00	 97.96
1620.00	 97.95
1621.00	 97.94
1622.00	 97.94
1623.00	 97.94
1624.00	 97.94
1625.00	 97.95
1626.00	 97.96
1627.00	 97.95
1628.00	 97.94
1629.00	 97.93
1630.00	 97.93
1631.00	 97.92
1632.00	 97.91
1633.00	 97.91
1634.00	 97.91
1635.00	 97.91
1636.00	 97.92
1637.00	 97.93
1638.00	 97.93
1639.00	 97.93
1640.00	 97.92
1641.00	 97.92
1642.00	 97.92
1643.00	 97.92
1644.00	 97.92
1645.00	 97.92
1646.00	 97.92
1647.00	 97.92
1648.00	 97.92
1649.00	 97.92
1650.00	 97.91
1651.00	 97.91
1652.00	 97.90
1653.00	 97.90
1654.00	 97.93
1655.00	 97.94
1656.00	 97.93
1657.00	 97.94
1658.00	 97.94
1659.00	 97.94
1660.00	 97.94
1661.00	 97.94
1662.00	 97.94
1663.00	 97.95
1664.00	 97.97
1665.00	 97.98
1666.00	 97.99
1667.00	 98.00
1668.00	 98.01
1669.00	 98.02
1670.00	 98.04
1671.00	 98.06
1672.00	 98.07
1673.00	 98.08
1674.00	 98.09
1675.00	 98.09
